SAE_ID,Threshold,N,ATOM_L1,R²,MSE,L1_Loss,Relative_L2,Dead_Codes,L0,L0_eps,L1_L2_Ratio,Hoyer,Kappa_4,Max_Cosine,Coherence,Stable_Rank,Eff_Rank,Connectivity,Neg_Inter,OOD_Score,Stability,Num_Alive_Codes,Num_Dead_Codes,Dict_Norm_Min,Dict_Norm_Max,Model_Path
0.5_1_0,0.5,1,0.0,0.7100666761398315,23.62581443786621,493.58050537109375,0.5515813231468201,0.0,0.012284391559660435,0.012284391559660435,2.514016628265381,0.932630717754364,0.19165730476379395,0.8664674162864685,0.8664674162864685,330.271484375,549.0,0.025075674057006836,0.1149396002292633,32.29834110923756,0.9989303946495056,551.0,0.0,1.2049362659454346,34.66386032104492,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.5_1_0/sae_full_model_epoch_300.pt
0.5_1_0.0001,0.5,1,0.0001,0.725243330001831,23.041175842285156,500.7686462402344,0.5383005738258362,0.0,0.018678821623325348,0.018678821623325348,3.2759318351745605,0.9040436148643494,0.11041561514139175,0.799066424369812,0.799066424369812,345.00579833984375,607.0,0.022739144042134285,0.11826683580875397,21.235286008771563,0.9980370998382568,611.0,0.0,0.4205129146575928,34.893096923828125,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.5_1_0.0001/sae_full_model_epoch_300.pt
0.5_3_0,0.5,3,0.0,0.815078854560852,18.974897384643555,406.8664855957031,0.4440211057662964,0.0,0.007862824946641922,0.007862824946641922,2.908600091934204,0.9417467713356018,0.13795782625675201,0.8760029673576355,0.8760029673576355,560.185302734375,1121.0,0.012051400728523731,0.10773983597755432,55.167707068690675,0.9986935257911682,1140.0,0.0,0.7633039951324463,25.491771697998047,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.5_3_0/sae_full_model_epoch_300.pt
0.5_3_0.0001,0.5,3,0.0001,0.8196386098861694,18.764190673828125,413.5496826171875,0.4392881989479065,0.0,0.012061252258718014,0.012061252258718014,3.7186360359191895,0.9196679592132568,0.08420147746801376,0.8500867486000061,0.8500867486000061,571.3389282226562,1164.0,0.01231649424880743,0.12224192917346954,44.415015563755894,0.9985132813453674,1214.0,0.0,0.3404780924320221,26.333480834960938,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.5_3_0.0001/sae_full_model_epoch_300.pt
0.5_8_0,0.5,8,0.0,0.8438955545425415,17.48491859436035,396.7906494140625,0.40935245156288147,0.0,0.011202494613826275,0.011202494613826275,3.9652280807495117,0.9211657643318176,0.07445655018091202,0.9112820029258728,0.9112820029258728,633.9564819335938,1376.0,0.013994541950523853,0.11370916664600372,68.95899206934469,0.9967984557151794,1491.0,0.0,0.5290187001228333,24.77736473083496,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.5_8_0/sae_full_model_epoch_300.pt
0.5_8_0.0001,0.5,8,0.0001,0.8398981094360352,17.705078125,405.655029296875,0.4146992266178131,0.0,0.013700932264328003,0.013700932264328003,4.364911079406738,0.9101990461349487,0.06211359426379204,0.8985503315925598,0.8985503315925598,622.4483642578125,1351.0,0.01488677877932787,0.11987095326185226,56.24335038096024,0.9963384866714478,1480.0,0.0,0.3741976022720337,25.07099151611328,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.5_8_0.0001/sae_full_model_epoch_300.pt
0.7_1_0,0.7,1,0.0,0.5980356931686401,27.62888526916504,450.6618347167969,0.6441943049430847,0.0,0.0025625168345868587,0.0025625168345868587,0.952059268951416,1.0023857355117798,0.7122542262077332,0.9056963324546814,0.9056963324546814,263.3753662109375,445.0,0.007125362753868103,0.0,38.36060670410004,0.9972425103187561,445.0,0.0,18.41622543334961,37.222068786621094,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.7_1_0/sae_full_model_epoch_300.pt
0.7_1_0.0001,0.7,1,0.0001,0.5959226489067078,27.757057189941406,487.3348083496094,0.647090494632721,0.0,0.004892249591648579,0.004892249591648579,1.4568206071853638,0.9773734211921692,0.5231553316116333,0.904319703578949,0.904319703578949,268.0398864746094,449.0,0.008030714467167854,0.16985931992530823,14.45300322596423,0.9973882436752319,449.0,0.0,7.736496925354004,36.975128173828125,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.7_1_0.0001/sae_full_model_epoch_300.pt
0.7_3_0,0.7,3,0.0,0.8189404010772705,18.774215698242188,344.69439697265625,0.4441472589969635,0.0,0.0014169425703585148,0.0014169425703585148,1.6315499544143677,0.985439121723175,0.4267387390136719,0.9509396553039551,0.9509396553039551,646.99267578125,1532.0,0.0032166948076337576,0.0,113.61664301883853,0.9961177110671997,1969.0,0.0,3.7102575302124023,32.37285232543945,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.7_3_0/sae_full_model_epoch_300.pt
0.7_3_0.0001,0.7,3,0.0001,0.8248839974403381,18.483545303344727,345.4513244628906,0.4375770390033722,0.0,0.001505000051110983,0.001505000051110983,1.7245562076568604,0.9836277365684509,0.3747422695159912,0.9625797867774963,0.9625797867774963,670.3471069335938,1607.0,0.003277301788330078,0.12506617605686188,111.4596409034855,0.9961094856262207,2048.0,0.0,3.514098644256592,29.470645904541016,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.7_3_0.0001/sae_full_model_epoch_300.pt
0.7_8_0,0.7,8,0.0,0.911661684513092,13.22995662689209,273.1592712402344,0.31445208191871643,0.0,0.0007493490120396018,0.0007493490120396018,2.25677752494812,0.98485267162323,0.21946600079536438,0.9705317616462708,0.9705317616462708,1001.845703125,2027.0,0.002007236937060952,0.0,130.14299088781627,0.9961905479431152,7051.0,0.0,2.751781940460205,24.9981632232666,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.7_8_0/sae_full_model_epoch_300.pt
0.7_8_0.0001,0.7,8,0.0001,0.9119453430175781,13.21268367767334,273.56646728515625,0.3140704333782196,0.0,0.0008082269923761487,0.0008082269923761487,2.348343849182129,0.9837280511856079,0.19821064174175262,0.960064709186554,0.960064709186554,1005.2354125976562,2028.0,0.0020283206831663847,0.10444540530443192,138.64064027592704,0.9961742758750916,7033.0,0.0,1.363746166229248,24.347858428955078,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.7_8_0.0001/sae_full_model_epoch_300.pt
0.9_1_0,0.9,1,0.0,,,,,,,,,,,,,,,,,,,,,,,not_found
0.9_1_0.0001,0.9,1,0.0001,,,,,,,,,,,,,,,,,,,,,,,not_found
0.9_3_0,0.9,3,0.0,0.5894640684127808,27.956560134887695,492.7729187011719,0.6518690586090088,0.0,0.0042753624729812145,0.0042753624729812145,1.522722601890564,0.9767623543739319,0.45391523838043213,0.9182406663894653,0.9182406663894653,295.37811279296875,549.0,0.0043616099283099174,0.0,13.601628573253167,0.9982227683067322,552.0,0.0,4.46982479095459,40.88867950439453,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.9_3_0/sae_full_model_epoch_300.pt
0.9_3_0.0001,0.9,3,0.0001,0.6795986890792847,24.851930618286133,472.8169860839844,0.5800230503082275,0.0,0.006414019502699375,0.006414019502699375,2.3954195976257324,0.9522376656532288,0.18605928122997284,0.9348592758178711,0.9348592758178711,418.2109375,855.0,0.006722898688167334,0.10728859901428223,13.320901790075407,0.997653067111969,913.0,0.0,0.3381769061088562,35.64219665527344,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.9_3_0.0001/sae_full_model_epoch_300.pt
0.9_8_0,0.9,8,0.0,0.7725475430488586,20.95937156677246,397.5513610839844,0.4954441785812378,0.0,0.0021985338535159826,0.0021985338535159826,2.1520707607269287,0.9744723439216614,0.2222629338502884,0.9963918328285217,0.9963918328285217,611.84326171875,1439.0,0.0021959268487989902,0.28317227959632874,44.708268245687286,0.9970873594284058,2128.0,0.0,2.1467201709747314,32.69282913208008,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.9_8_0/sae_full_model_epoch_300.pt
0.9_8_0.0001,0.9,8,0.0001,0.7785134315490723,20.70619010925293,397.68798828125,0.4892887771129608,0.0,0.0028309919871389866,0.0028309919871389866,2.50776743888855,0.9674400687217712,0.16250337660312653,0.9737147092819214,0.9737147092819214,642.61865234375,1476.0,0.002390866633504629,0.0,58.019968629425776,0.9967155456542969,2238.0,0.0,0.5423082709312439,33.965538024902344,/data/codec/decomps/resnet50_act_normgrad_top_3_nosoftmax/saes/sae-sigthresh-sweep/layer_15/hypersweep_0.9_8_0.0001/sae_full_model_epoch_300.pt
